Weight (kg),Activity Level (steps),Heart Rate (bpm),Calorie Burn,Temperature (C),Food Intake (calories),Water Intake (ml),Breathing Rate (breaths/min),Barking Frequency,Behaviour Pattern
7.2002,0,105,2,26.7,0,0,17,None,Sleeping
7.2002,354,104,11.2,25.4,0,15.8,24,None,Normal
7.2002,364,114,11.5,28.4,0,5.7,26,Low,Normal
7.2002,974,120,30.1,30,0,0,31,Medium,Playing
7.2002,1061,122,33.6,33.6,0,0,27,High,Walking
7.2002,1277,121,38.8,33,0,0,33,High,Walking
7.2002,353,107,13.2,26,0,14.1,24,None,Normal
7.2002,243,111,10,26.9,0,54.5,24,None,Normal
7.2002,130,109,6.7,29.1,151.9,111.2,22,None,Eating
7.2002,1627,129,49.9,29.7,0,0,35,High,Playing
7.2002,265,110,8.6,24.8,114.4,94.5,24,None,Eating
7.2002,340,104,11.8,27.5,0,24.1,20,Low,Normal
7.2002,479,123,14.8,27.9,0,0,35,High,Playing
7.2167,0,105,2,26.5,0,0,18,None,Sleeping
7.2167,0,109,1,26.3,0,0,16,None,Sleeping
7.2167,0,102,1,25.2,0,0,16,None,Sleeping
7.2167,0,103,2,24.8,0,0,19,None,Sleeping
7.2167,0,113,2,26.2,0,0,19,None,Sleeping
7.2167,0,109,1,26.2,0,0,16,None,Sleeping
7.2167,0,104,2,25.5,0,0,19,None,Sleeping
7.2167,0,101,2,26.4,0,0,16,None,Sleeping
7.2167,0,111,2,26.1,0,0,18,None,Sleeping
7.2167,2344,131,70.7,33.9,0,0,37,Medium,Walking
7.2167,540,112,16.6,26.7,0,55,16,None,Normal
7.2167,348,111,11,26.2,169,69.7,25,None,Eating
7.2167,305,111,10.8,26.6,0,32.8,20,None,Normal
7.2167,399,102,14.5,26.8,0,5.8,20,None,Normal
7.2167,2839,137,84,32.2,0,0,29,Medium,Walking
7.2167,2840,129,85,31.7,0,0,30,Low,Walking
7.2167,561,108,17.2,26.9,0,14.6,24,Low,Normal
7.2167,282,111,11.1,25.8,0,27.3,26,None,Normal
7.2167,179,110,6.2,26.9,113.3,94.5,22,None,Eating
7.2167,384,114,13.1,27,0,59.9,20,Low,Normal
7.2167,300,108,10.7,28,0,3.1,17,None,Normal
7.2167,354,106,11.2,27.3,198.6,32.7,23,None,Eating
7.2167,0,109,1,25.8,0,0,17,None,Sleeping
7.2167,0,102,1,24.6,0,0,17,None,Sleeping
7.23,0,106,2,25.8,0,0,15,None,Sleeping
7.23,0,112,3,24.8,0,0,16,None,Sleeping
7.23,0,103,3,26.1,0,0,17,None,Sleeping
7.23,0,103,2,26.4,0,0,16,None,Sleeping
7.23,0,109,1,27.2,0,0,19,None,Sleeping
7.23,0,111,2,25.7,0,0,19,None,Sleeping
7.23,0,107,1,25.5,0,0,18,None,Sleeping
7.23,0,109,2,27,0,0,17,None,Sleeping
7.23,317,108,12.2,25.9,165.8,37.7,25,None,Eating
7.23,900,116,27,32.3,0,0,37,Medium,Walking
7.23,0,109,1,25.5,0,0,19,None,Sleeping
7.23,0,108,2,27.5,0,0,16,None,Sleeping
7.23,0,112,3,27.3,0,0,20,None,Sleeping
7.23,270,104,8.8,26.7,0,41.6,26,Low,Normal
7.23,307,104,10.9,28.6,0,13.5,27,Low,Normal
7.23,279,109,9.1,26.8,0,39.5,26,Low,Normal
7.23,204,107,7.9,26.8,198.5,130.6,24,None,Eating
7.23,0,111,1,27.3,0,0,20,None,Sleeping
7.23,490,106,16.2,27.7,0,2.1,24,None,Normal
7.23,3133,121,92.6,31.6,0,0,32,High,Walking
7.23,408,114,12.8,25.7,0,14.1,24,None,Normal
7.23,209,106,9,27.7,0,45.1,24,Low,Normal
7.23,410,112,14.9,27.9,0,28,17,None,Normal
7.23,0,106,1,25.5,0,0,20,None,Sleeping
7.2454,0,104,1,24.6,0,0,18,None,Sleeping
7.2454,0,108,3,26.4,0,0,15,None,Sleeping
7.2454,0,107,2,27,0,0,15,None,Sleeping
7.2454,0,107,3,25.9,0,0,16,None,Sleeping
7.2454,0,109,3,24.8,0,0,16,None,Sleeping
7.2454,0,104,3,25.1,0,0,15,None,Sleeping
7.2454,0,101,1,25.1,0,0,16,None,Sleeping
7.2454,240,109,9,28.3,168.6,37.5,23,None,Eating
7.2454,2889,135,85.7,29.1,0,0,29,Low,Walking
7.2454,358,110,11.4,26.9,0,58.9,18,None,Normal
7.2454,392,115,14.4,28.5,0,14.4,16,None,Normal
7.2454,361,113,11.5,27.2,0,33.1,23,None,Normal
7.2454,374,108,13.8,25.9,0,5,21,Low,Normal
7.2454,193,107,7.6,25.2,0,45.8,16,Low,Normal
7.2454,300,111,9.7,27.3,0,57.4,21,Low,Normal
7.2454,268,109,9.8,25.3,0,4.6,22,None,Normal
7.2454,132,114,4.8,24.8,186.9,103.8,27,None,Eating
7.2454,325,110,10.4,26.7,0,18.7,23,None,Normal
7.2454,0,111,1,24.6,0,0,16,None,Sleeping
7.2454,295,109,10.5,27.4,0,4.6,21,Low,Normal
7.2454,2185,123,65.3,31.5,0,0,32,High,Walking
7.2454,0,111,1,27,0,0,16,None,Sleeping
7.2454,0,105,1,25.6,0,0,19,None,Sleeping
7.2454,0,107,1,24.8,0,0,19,None,Sleeping
7.2547,0,103,3,25.4,0,0,20,None,Sleeping
7.2547,0,101,1,26.9,0,0,20,None,Sleeping
7.2547,0,113,1,26.8,0,0,20,None,Sleeping
7.2547,0,109,2,24.7,0,0,15,None,Sleeping
7.2547,0,111,1,24.8,0,0,17,None,Sleeping
7.2547,0,112,2,26,0,0,16,None,Sleeping
7.2547,0,109,2,25.5,0,0,15,None,Sleeping
7.2547,0,107,3,26.2,0,0,15,None,Sleeping
7.2547,0,111,2,24.7,0,0,16,None,Sleeping
7.2547,343,110,13,24.6,135.6,108.3,21,None,Eating
7.2547,2720,127,80.9,33.1,0,0,34,Medium,Walking
7.2547,411,114,13.9,27.1,0,55.7,24,Low,Normal
7.2547,187,108,6.4,29,0,56.1,22,Low,Normal
7.2547,266,104,10.7,26.6,0,22.1,23,None,Normal
7.2547,350,105,11.2,27.6,0,48.9,22,Low,Normal
7.2547,575,110,17.7,28.4,0,24.2,22,None,Normal
7.2547,0,107,2,25.7,0,0,17,None,Sleeping
7.2547,214,105,9.2,26.1,137.8,157.2,25,None,Eating
7.2547,304,113,9.8,26.7,0,5.5,22,Low,Normal
7.2547,1280,133,40.1,29.4,0,0,28,High,Playing
7.2547,1574,132,46.7,31.5,0,0,37,Medium,Walking
7.2547,422,106,14.2,25.9,0,22.3,25,Low,Normal
7.2547,0,111,1,26,0,0,17,None,Sleeping
7.2547,0,106,3,26.2,0,0,15,None,Sleeping
7.2517,0,113,3,26.9,0,0,15,None,Sleeping
7.2517,0,104,2,26.2,0,0,20,None,Sleeping
7.2517,0,103,1,27,0,0,16,None,Sleeping
7.2517,0,104,2,27.5,0,0,18,None,Sleeping
7.2517,0,110,3,25,0,0,20,None,Sleeping
7.2517,0,103,2,25.3,0,0,20,None,Sleeping
7.2517,0,105,2,25.2,0,0,16,None,Sleeping
7.2517,302,116,11.8,28.6,192.8,78.5,21,None,Eating
7.2517,1687,120,50.9,32.9,0,0,38,Low,Walking
7.2517,0,111,3,25.8,0,0,18,None,Sleeping
7.2517,461,113,14.4,27.1,0,24,28,None,Normal
7.2517,0,104,3,27.4,0,0,20,None,Sleeping
7.2517,0,109,3,24.8,0,0,17,None,Sleeping
7.2517,360,109,11.4,25.6,0,11.7,18,Low,Normal
7.2517,0,106,1,24.6,0,0,20,None,Sleeping
7.2517,0,105,2,24.7,0,0,16,None,Sleeping
7.2517,163,113,6.7,28.4,165.6,77.9,24,None,Eating
7.2517,1469,136,45.6,29.9,0,0,30,High,Playing
7.2517,1708,128,51.5,31.2,0,0,23,Low,Playing
7.2517,325,110,12.4,25.2,0,10.9,25,None,Normal
7.2517,2798,115,83.2,32,0,0,35,Low,Walking
7.2517,0,108,2,27.4,0,0,17,None,Sleeping
7.2517,0,111,2,25.9,0,0,17,None,Sleeping
7.2517,0,109,3,25.8,0,0,15,None,Sleeping
7.2564,0,112,3,26.1,0,0,17,None,Sleeping
7.2564,0,109,2,25.6,0,0,16,None,Sleeping
7.2564,0,102,3,25.4,0,0,15,None,Sleeping
7.2564,0,108,3,26.4,0,0,17,None,Sleeping
7.2564,0,110,1,26.5,0,0,20,None,Sleeping
7.2564,0,107,1,25.8,0,0,17,None,Sleeping
7.2564,0,107,2,27.4,0,0,16,None,Sleeping
7.2564,0,110,1,26.3,0,0,20,None,Sleeping
7.2564,0,102,2,25.2,0,0,16,None,Sleeping
7.2564,225,117,9.5,26.6,104.9,70.6,25,None,Eating
7.2564,2711,111,81.7,31.8,0,0,32,Low,Walking
7.2564,413,106,13,27,0,52.3,23,None,Normal
7.2564,370,113,11.7,28,0,39.5,21,None,Normal
7.2564,1008,129,32.3,30,0,0,37,Medium,Playing
7.2564,0,110,1,25.7,0,0,19,None,Sleeping
7.2564,377,111,13.9,27.5,0,17.5,20,None,Normal
7.2564,311,115,11,24.8,203.2,93.5,19,None,Eating
7.2564,978,118,31.4,30.3,0,0,21,Low,Playing
7.2564,293,112,10.5,27,0,2.3,19,Low,Normal
7.2564,2554,117,76.1,29.7,0,0,38,Medium,Walking
7.2564,246,115,8.1,28.1,0,35.1,23,Low,Normal
7.2564,444,105,13.9,28.1,0,32.4,20,Low,Normal
7.2564,0,106,2,25.7,0,0,20,None,Sleeping
7.2564,0,104,3,27.4,0,0,15,None,Sleeping
7.2526,0,107,3,25.1,0,0,18,None,Sleeping
7.2526,0,104,2,25,0,0,20,None,Sleeping
7.2526,0,110,1,25.1,0,0,16,None,Sleeping
7.2526,0,107,2,26,0,0,17,None,Sleeping
7.2526,0,110,3,25.4,0,0,18,None,Sleeping
7.2526,0,107,1,24.9,0,0,19,None,Sleeping
7.2526,0,106,1,26.5,0,0,19,None,Sleeping
7.2526,0,109,2,25.1,0,0,18,None,Sleeping
7.2526,0,107,2,26.9,0,0,20,None,Sleeping
7.2526,2062,133,61.8,30.5,0,0,32,Low,Walking
7.2526,161,104,6.7,25.9,200.2,135.3,27,None,Eating
7.2526,210,114,8.1,29.3,0,1.8,17,None,Normal
7.2526,0,108,2,25.1,0,0,17,None,Sleeping
7.2526,0,104,1,25.4,0,0,19,None,Sleeping
7.2526,2723,123,80,33.7,0,0,29,None,Walking
7.2526,2417,132,73.1,29.8,0,0,30,Low,Walking
7.2526,2438,125,73.7,29.8,0,0,31,Low,Walking
7.2526,268,113,9.8,26.2,0,26.3,19,Low,Normal
7.2526,105,112,4,27.5,0,49.8,18,Low,Normal
7.2526,231,113,9.7,28,200.2,106.6,25,None,Eating
7.2526,753,128,24.8,30.7,0,0,28,High,Playing
7.2526,593,119,20.2,30.8,0,0,32,High,Playing
7.2526,426,102,13.4,25.8,0,23.2,20,Low,Normal
7.2526,0,111,1,25.4,0,0,19,None,Sleeping
7.2519,0,107,1,27.2,0,0,19,None,Sleeping
7.2519,0,102,3,25,0,0,15,None,Sleeping
7.2519,0,112,3,25.4,0,0,17,None,Sleeping
7.2519,0,107,2,26,0,0,17,None,Sleeping
7.2519,0,104,2,25.8,0,0,20,None,Sleeping
7.2519,0,103,1,25.8,0,0,20,None,Sleeping
7.2519,0,103,2,26.4,0,0,19,None,Sleeping
7.2519,0,112,1,26.2,0,0,17,None,Sleeping
7.2519,0,104,1,25.5,0,0,18,None,Sleeping
7.2519,1700,128,51.3,32,0,0,37,Low,Walking
7.2519,262,107,10.6,26.9,174.5,144.7,21,None,Eating
7.2519,291,110,10.4,26.8,0,39.5,22,None,Normal
7.2519,404,105,13.7,25.4,0,9.7,21,Low,Normal
7.2519,0,108,3,25.5,0,0,16,None,Sleeping
7.2519,2388,124,72.3,29.5,0,0,32,High,Walking
7.2519,2826,117,83,29.1,0,0,28,None,Walking
7.2519,1030,133,32.9,31.2,0,0,28,High,Walking
7.2519,0,110,1,25.7,0,0,18,None,Sleeping
7.2519,378,106,14,27.2,0,37.8,24,Low,Normal
7.2519,282,111,10.2,28,159.8,39.8,16,None,Eating
7.2519,370,112,12.7,26.7,0,24.1,25,None,Normal
7.2519,255,105,9.4,28.8,179.2,120.3,23,None,Eating
7.2519,593,112,19.2,26.5,0,2.7,20,Low,Normal
7.2519,0,104,2,26.4,0,0,20,None,Sleeping
7.2716,0,112,2,26.5,0,0,20,None,Sleeping
7.2716,0,107,1,25.2,0,0,20,None,Sleeping
7.2716,0,110,3,26.8,0,0,19,None,Sleeping
7.2716,0,109,3,24.8,0,0,19,None,Sleeping
7.2716,0,103,2,26,0,0,20,None,Sleeping
7.2716,0,104,2,27.5,0,0,17,None,Sleeping
7.2716,0,109,1,25.1,0,0,15,None,Sleeping
7.2716,164,112,6.8,26.1,164.1,80.5,24,None,Eating
7.2716,3204,134,94.2,33.7,0,0,37,Medium,Walking
7.2716,462,112,15.4,26.5,0,40.7,21,None,Normal
7.2716,0,110,1,24.9,0,0,17,None,Sleeping
7.2716,0,106,3,24.8,0,0,19,None,Sleeping
7.2716,0,104,3,27.2,0,0,17,None,Sleeping
7.2716,1284,130,39.3,30.1,0,0,32,Low,Playing
7.2716,387,107,12.3,29.5,0,33.1,22,Low,Normal
7.2716,0,102,2,27.1,0,0,19,None,Sleeping
7.2716,1584,132,48.1,30.6,0,0,28,Medium,Playing
7.2716,333,102,11.7,27.8,156.2,67.1,23,None,Eating
7.2716,0,107,2,24.6,0,0,17,None,Sleeping
7.2716,1999,114,61.1,33.2,0,0,26,High,Walking
7.2716,154,107,6.5,25.6,0,45,23,None,Normal
7.2716,775,131,23.5,30.1,0,0,34,Medium,Playing
7.2716,0,108,1,24.8,0,0,15,None,Sleeping
7.2716,0,106,2,25.9,0,0,17,None,Sleeping
7.2682,0,104,2,25.8,0,0,17,None,Sleeping
7.2682,0,105,2,25.8,0,0,16,None,Sleeping
7.2682,0,103,1,24.9,0,0,16,None,Sleeping
7.2682,0,105,3,25.7,0,0,19,None,Sleeping
7.2682,0,101,3,26.1,0,0,19,None,Sleeping
7.2682,0,110,1,25,0,0,16,None,Sleeping
7.2682,0,106,3,26,0,0,16,None,Sleeping
7.2682,0,110,1,25.5,0,0,15,None,Sleeping
7.2682,0,105,1,25.8,0,0,16,None,Sleeping
7.2682,176,113,7.1,27.4,148,140.2,21,None,Eating
7.2682,1296,131,39.7,32.1,0,0,33,Medium,Walking
7.2682,0,105,2,27.4,0,0,18,None,Sleeping
7.2682,481,114,15,29.5,0,35.2,19,Low,Normal
7.2682,443,105,14.9,26.9,0,47.8,18,None,Normal
7.2682,402,105,14.7,29,0,47.8,28,Low,Normal
7.2682,269,111,9.8,26.8,0,26,16,None,Normal
7.2682,257,114,8.5,26,185.3,156.1,21,None,Eating
7.2682,457,112,15.3,27.7,0,13,28,Low,Normal
7.2682,0,110,2,25.4,0,0,18,None,Sleeping
7.2682,851,117,26.7,32,0,0,28,High,Walking
7.2682,403,110,14.7,26.5,0,29.3,22,Low,Normal
7.2682,0,107,3,26.2,0,0,19,None,Sleeping
7.2682,0,110,1,27.2,0,0,17,None,Sleeping
7.2682,0,105,2,25.6,0,0,15,None,Sleeping
7.2863,0,112,3,25,0,0,15,None,Sleeping
7.2863,0,109,3,26.2,0,0,15,None,Sleeping
7.2863,0,105,3,24.9,0,0,17,None,Sleeping
7.2863,0,104,3,24.7,0,0,18,None,Sleeping
7.2863,0,107,1,24.7,0,0,18,None,Sleeping
7.2863,0,104,1,26,0,0,20,None,Sleeping
7.2863,0,104,2,26,0,0,15,None,Sleeping
7.2863,0,111,1,26.8,0,0,15,None,Sleeping
7.2863,0,108,3,26.8,0,0,20,None,Sleeping
7.2863,266,107,9.8,26,112.6,61.9,16,None,Eating
7.2863,2624,129,79.5,30.3,0,0,38,High,Walking
7.2863,1014,110,30.6,30.3,0,0,33,High,Playing
7.2863,401,108,14.7,26.9,0,17,18,None,Normal
7.2863,0,106,1,26.4,0,0,20,None,Sleeping
7.2863,179,108,6.2,25.7,0,39.9,24,None,Normal
7.2863,302,107,10.8,25.8,0,49,21,Low,Normal
7.2863,449,104,14.1,26.2,0,12.8,24,None,Normal
7.2863,293,113,9.5,25.9,198,51.8,24,None,Eating
7.2863,307,112,11.9,28,0,46.4,19,None,Normal
7.2863,0,102,3,25.5,0,0,18,None,Sleeping
7.2863,1070,115,33.2,30.5,0,0,25,High,Walking
7.2863,244,111,8.1,26.9,0,3.4,25,None,Normal
7.2863,282,112,9.2,28.7,0,38.6,27,Low,Normal
7.2863,0,105,3,26.6,0,0,15,None,Sleeping
7.2923,0,107,2,26.2,0,0,17,None,Sleeping
7.2923,0,104,3,26.9,0,0,15,None,Sleeping
7.2923,0,103,1,26.6,0,0,17,None,Sleeping
7.2923,0,108,3,24.6,0,0,20,None,Sleeping
7.2923,0,102,3,26.1,0,0,20,None,Sleeping
7.2923,0,105,3,25.9,0,0,20,None,Sleeping
7.2923,0,103,1,25.7,0,0,16,None,Sleeping
7.2923,111,112,4.2,27,136.9,80.9,22,None,Eating
7.2923,1335,126,39.9,31.3,0,0,31,High,Walking
7.2923,381,109,13.1,26.8,0,41.6,23,Low,Normal
7.2923,504,111,15.7,27.4,0,8.8,18,Low,Normal
7.2923,535,102,18.6,26.7,0,40.3,22,Low,Normal
7.2923,0,103,1,25.3,0,0,17,None,Sleeping
7.2923,209,108,9.1,24.8,0,62.2,16,Low,Normal
7.2923,372,108,11.9,27,0,35.6,17,None,Normal
7.2923,0,109,2,27.3,0,0,20,None,Sleeping
7.2923,456,112,15.3,28.9,0,26.9,20,None,Normal
7.2923,360,104,11.5,27.4,122.6,76.6,24,None,Eating
7.2923,0,108,3,26.2,0,0,20,None,Sleeping
7.2923,352,102,13.3,26.5,0,9,27,Low,Normal
7.2923,1071,121,32.2,32.1,0,0,31,Medium,Walking
7.2923,1326,127,40.7,31.3,0,0,31,High,Playing
7.2923,0,102,1,26,0,0,20,None,Sleeping
7.2923,0,102,3,25.9,0,0,16,None,Sleeping
7.2934,0,106,1,27.2,0,0,16,None,Sleeping
7.2934,0,108,3,25.5,0,0,20,None,Sleeping
7.2934,0,109,3,25,0,0,16,None,Sleeping
7.2934,0,101,1,26.5,0,0,17,None,Sleeping
7.2934,0,103,2,24.7,0,0,19,None,Sleeping
7.2934,0,106,3,26.5,0,0,17,None,Sleeping
7.2934,0,113,2,25.9,0,0,18,None,Sleeping
7.2934,278,112,10.1,28.1,110.1,68.3,20,None,Eating
7.2934,1274,121,38.2,30.8,0,0,35,High,Walking
7.2934,0,107,2,27,0,0,17,None,Sleeping
7.2934,456,115,15.3,27.2,0,57.6,18,None,Normal
7.2934,1287,119,39.5,28,0,0,28,Low,Playing
7.2934,1008,127,32.4,29.8,0,0,25,High,Playing
7.2934,1285,135,40.5,29.8,0,0,34,Medium,Playing
7.2934,372,113,11.9,27.9,0,36.7,18,None,Normal
7.2934,0,103,3,26.4,0,0,15,None,Sleeping
7.2934,138,107,5,26.7,195.8,40.4,18,None,Eating
7.2934,0,106,2,25.8,0,0,19,None,Sleeping
7.2934,1678,131,51,31.3,0,0,28,Low,Playing
7.2934,1519,116,45.3,31.4,0,0,30,High,Walking
7.2934,364,103,11.6,27.4,0,5.8,23,Low,Normal
7.2934,527,112,18.4,27.8,0,47,20,Low,Normal
7.2934,0,113,1,27.4,0,0,17,None,Sleeping
7.2934,0,111,3,26.4,0,0,18,None,Sleeping
7.2883,0,101,1,24.5,0,0,17,None,Sleeping
7.2883,0,108,2,27.1,0,0,15,None,Sleeping
7.2883,0,112,1,25.3,0,0,16,None,Sleeping
7.2883,0,106,3,25.4,0,0,15,None,Sleeping
7.2883,0,106,1,25.3,0,0,15,None,Sleeping
7.2883,0,104,3,24.5,0,0,17,None,Sleeping
7.2883,0,108,2,25.2,0,0,20,None,Sleeping
7.2883,0,110,2,26.2,0,0,16,None,Sleeping
7.2883,0,110,2,24.6,0,0,20,None,Sleeping
7.2883,0,107,3,26.1,0,0,19,None,Sleeping
7.2883,0,109,3,26.4,0,0,16,None,Sleeping
7.2883,3152,129,94.9,32.9,0,0,26,Low,Walking
7.2883,198,109,7.8,28.8,186,94.4,23,None,Eating
7.2883,441,111,15.9,25,0,21.3,21,None,Normal
7.2883,317,113,10.2,26.1,0,54.6,19,Low,Normal
7.2883,1701,112,50.6,32.9,0,0,38,Low,Walking
7.2883,793,133,25.1,34.1,0,0,32,Low,Walking
7.2883,3093,132,92.2,31.6,0,0,24,High,Walking
7.2883,1017,125,31.6,31.5,0,0,33,High,Playing
7.2883,671,116,22.6,30,0,0,32,High,Playing
7.2883,251,116,8.3,28.3,188.4,158.9,22,None,Eating
7.2883,202,112,7.9,27.2,197.2,60.5,21,None,Eating
7.2883,456,108,16.3,26,0,28.9,24,None,Normal
7.2883,373,106,11.9,24.9,0,64.7,23,None,Normal
7.3082,0,105,3,27.5,0,0,17,None,Sleeping
7.3082,0,106,3,26.1,0,0,19,None,Sleeping
7.3082,0,101,3,25.1,0,0,19,None,Sleeping
7.3082,0,113,3,26.4,0,0,17,None,Sleeping
7.3082,0,108,2,26.4,0,0,17,None,Sleeping
7.3082,0,103,1,25.3,0,0,20,None,Sleeping
7.3082,0,109,1,27.3,0,0,18,None,Sleeping
7.3082,0,111,2,26.2,0,0,17,None,Sleeping
7.3082,0,102,1,25.2,0,0,17,None,Sleeping
7.3082,1253,129,39.6,34.3,0,0,32,Low,Walking
7.3082,270,113,8.9,26.7,0,11.9,22,None,Normal
7.3082,113,115,4.3,28.1,127.2,70.8,22,None,Eating
7.3082,1662,132,49.6,31.3,0,0,27,Medium,Playing
7.3082,474,114,16.9,27.4,0,59.8,24,None,Normal
7.3082,1344,134,40.3,30.4,0,0,29,Medium,Playing
7.3082,1510,134,45.1,29.5,0,0,38,None,Walking
7.3082,2884,115,85.3,31.5,0,0,35,None,Walking
7.3082,0,103,2,26,0,0,15,None,Sleeping
7.3082,158,113,5.6,27.5,105.8,152.6,18,None,Eating
7.3082,257,109,8.5,25.8,0,44.8,21,Low,Normal
7.3082,212,108,8.2,28.8,0,60.8,28,Low,Normal
7.3082,293,107,11.6,27,104.5,93,25,None,Eating
7.3082,124,105,6.6,25.7,0,42,26,None,Normal
7.3082,0,104,2,25.6,0,0,19,None,Sleeping
7.3061,0,110,1,26.6,0,0,20,None,Sleeping
7.3061,0,110,3,27.4,0,0,20,None,Sleeping
7.3061,0,109,2,24.7,0,0,20,None,Sleeping
7.3061,0,106,2,25,0,0,19,None,Sleeping
7.3061,0,110,1,27.4,0,0,17,None,Sleeping
7.3061,0,104,1,26.6,0,0,17,None,Sleeping
7.3061,0,103,3,26.8,0,0,20,None,Sleeping
7.3061,0,108,1,26.8,0,0,15,None,Sleeping
7.3061,246,108,8.2,27.9,123.1,116.5,24,None,Eating
7.3061,1943,118,59.8,35.2,0,0,33,Low,Walking
7.3061,137,108,5,27.7,0,0.5,22,Low,Normal
7.3061,273,109,10,28.4,0,41,25,Low,Normal
7.3061,0,105,1,26,0,0,19,None,Sleeping
7.3061,294,111,9.6,26.9,0,13.6,23,Low,Normal
7.3061,317,110,10.3,28.1,0,52.1,21,Low,Normal
7.3061,241,114,8,24.7,0,23.3,24,Low,Normal
7.3061,458,108,15.4,26.7,0,51.6,18,Low,Normal
7.3061,310,115,12.1,27.9,114.7,70.6,23,None,Eating
7.3061,276,106,10.1,28,0,63.7,24,None,Normal
7.3061,1226,127,36.8,30.7,0,0,23,Medium,Playing
7.3061,1530,135,46.7,33.9,0,0,28,None,Walking
7.3061,0,108,3,27.2,0,0,17,None,Sleeping
7.3061,0,110,3,27.4,0,0,19,None,Sleeping
7.3061,0,108,2,27.2,0,0,19,None,Sleeping
7.3039,0,106,3,26.5,0,0,15,None,Sleeping
7.3039,0,109,1,26.7,0,0,19,None,Sleeping
7.3039,0,110,1,25,0,0,19,None,Sleeping
7.3039,0,110,2,25.9,0,0,15,None,Sleeping
7.3039,0,105,2,25.2,0,0,19,None,Sleeping
7.3039,0,108,2,24.7,0,0,15,None,Sleeping
7.3039,0,106,1,27.3,0,0,17,None,Sleeping
7.3039,0,110,1,24.9,0,0,16,None,Sleeping
7.3039,0,113,2,25.5,0,0,20,None,Sleeping
7.3039,357,104,13.4,24.7,171.2,47.5,19,None,Eating
7.3039,2088,126,64,30.2,0,0,38,High,Walking
7.3039,1201,119,36.1,29.3,0,0,32,High,Playing
7.3039,389,134,14.4,27.6,0,0,31,High,Playing
7.3039,0,112,1,25.4,0,0,18,None,Sleeping
7.3039,1417,124,43.4,29.5,0,0,36,High,Playing
7.3039,1308,130,41.2,29.4,0,0,37,High,Playing
7.3039,453,107,16.2,29.5,0,3.8,23,Low,Normal
7.3039,322,114,12.4,26.5,135.5,106.2,25,None,Eating
7.3039,1625,133,49.5,29.4,0,0,25,Low,Playing
7.3039,2397,133,73,32.1,0,0,29,Low,Walking
7.3039,754,114,24,30.4,0,0,32,Low,Playing
7.3039,494,111,17.4,29,0,38.4,24,None,Normal
7.3039,0,107,1,26.6,0,0,19,None,Sleeping
7.3039,0,111,2,25.5,0,0,17,None,Sleeping
7.2886,0,102,3,24.5,0,0,20,None,Sleeping
7.2886,0,110,3,25.4,0,0,19,None,Sleeping
7.2886,0,108,3,25.3,0,0,18,None,Sleeping
7.2886,0,102,2,25.4,0,0,19,None,Sleeping
7.2886,0,106,1,27.4,0,0,15,None,Sleeping
7.2886,0,104,1,25.1,0,0,20,None,Sleeping
7.2886,0,112,3,24.8,0,0,16,None,Sleeping
7.2886,0,106,2,26.4,0,0,15,None,Sleeping
7.2886,0,107,1,25.5,0,0,19,None,Sleeping
